ID,TERYT,JEDNOSTKA TERYTORIALNA,GŁOSOWANIE PRZEZ PEŁNOMOCNIKA,GŁOSOWANIE NA PODSTAWIE ZAŚWIADCZENIA,GŁOS NIEWAŻNY,"""X"" OBOK KILKU KANDYDATÓW","""X"" OBOK ŻADNEGO KANDYDATA",KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,"LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",POLEXIT - KOALICJA,JEDNOŚĆ NARODU,PRAWO I SPRAWIEDLIWOŚĆ,RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI,WIOSNA ROBERTA BIEDRONIA,KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,KUKIZ'15,POLSKA FAIR PLAY
148,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
149,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
150,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
151,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
152,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
153,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
154,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
155,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
156,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
157,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
158,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
159,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
160,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
161,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
162,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
163,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
164,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
165,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
166,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
167,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
168,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
169,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
170,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
171,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
172,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
173,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
174,20101,m. Bolesławiec,,1,,,,1,,,,,,,,,
175,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
176,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
177,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
178,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
179,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
180,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
181,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
182,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
183,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
184,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
185,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
186,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
187,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
188,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
189,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
190,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
191,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
192,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
193,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
194,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
195,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
196,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
197,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
198,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
199,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
200,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
201,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
202,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
203,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
204,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
205,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
206,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
207,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
208,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
209,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
210,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
211,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
212,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
213,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
214,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
215,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
216,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
217,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
218,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
219,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
220,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
221,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
222,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
223,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
224,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
225,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
226,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
227,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
228,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
229,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
230,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
231,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
232,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
233,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
234,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
235,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
236,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
237,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
238,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
239,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
240,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
241,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
242,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
243,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
244,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
245,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
246,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
247,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
248,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
249,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
250,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
251,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
252,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
253,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
254,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
255,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
256,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
257,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
258,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
259,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
260,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
261,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
262,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
263,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
264,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
265,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
266,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
267,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
268,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
269,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
270,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
271,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
272,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
273,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
274,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
275,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
276,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
277,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
278,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
279,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
280,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
281,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
282,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
283,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
284,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
285,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
286,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
287,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
288,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
289,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
290,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
291,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
292,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
293,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
294,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
295,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
296,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
297,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
298,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
299,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
300,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
301,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
302,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
303,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
304,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
305,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
306,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
307,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
308,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
309,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
310,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
311,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
312,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
313,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
314,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
315,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
316,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
317,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
318,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
319,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
320,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
321,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
322,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
323,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
324,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
325,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
326,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
327,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
328,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
329,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
330,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
331,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
332,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
333,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
334,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
335,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
336,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
337,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
338,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
339,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
340,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
341,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
342,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
343,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
344,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
345,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
346,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
347,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
348,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
349,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
350,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
351,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
352,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
353,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
354,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
355,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
356,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
357,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
358,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
359,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
360,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
361,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
362,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
363,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
364,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
365,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
366,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
367,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
368,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
369,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
370,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
371,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
372,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
373,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
374,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
375,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
376,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
377,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
378,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
379,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
380,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
381,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
382,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
383,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
384,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
385,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
386,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
387,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
388,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
389,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
390,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
391,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
392,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
393,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
394,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
395,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
396,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
397,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
398,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
399,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
400,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
401,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
402,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
403,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
404,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
405,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
406,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
407,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
408,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
409,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
410,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
411,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
412,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
413,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
414,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
415,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
416,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
417,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
418,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
419,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
420,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
421,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
422,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
423,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
424,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
425,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
426,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
427,20101,m. Bolesławiec,,,,,,1,,,,,,,,,
