TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
020301,m. Głogów,40198,52081,52081,0,16361,23836,23836,0,20,108,2,2,0,0,0,0,2,23838,2,5,23833,162,79,83,0,23671,9926,340,,,9984,,1462,1014,945,
020302,gm. Głogów,3896,5325,5325,0,1554,2342,2342,0,2,14,0,0,0,0,0,0,0,2342,0,0,2342,18,8,10,0,2324,794,29,,,1138,,150,98,115,
020303,gm. Jerzmanowa,2900,3885,3885,0,1109,1791,1791,0,3,6,0,0,0,0,0,0,0,1791,0,0,1791,11,6,5,0,1780,697,28,,,773,,118,88,76,
020304,gm. Kotla,2604,3412,3412,0,1408,1196,1196,0,0,2,0,0,0,0,0,0,0,1195,0,0,1195,19,11,8,0,1176,310,20,,,662,,81,47,56,
020305,gm. Pęcław,1411,1745,1745,0,781,630,630,0,0,0,0,0,0,0,0,0,0,630,0,0,630,18,9,9,0,612,128,12,,,417,,12,23,20,
020306,gm. Żukowice,2000,2707,2707,0,1046,954,954,0,2,1,0,0,0,0,0,0,0,954,0,0,954,17,11,6,0,937,259,13,,,496,,61,58,50,
020401,gm. Góra,11867,15662,15662,0,6466,5401,5401,0,2,72,0,0,0,0,0,0,0,5400,0,0,5400,49,25,24,0,5351,2020,68,,,2548,,306,211,198,
020402,gm. Jemielno,1795,2426,2426,0,1033,762,762,0,8,7,0,0,0,0,0,0,0,762,0,0,762,10,2,8,0,752,199,10,,,443,,36,37,27,
020403,gm. Niechlów,2894,3841,3840,1,1679,1215,1215,0,0,6,0,0,0,0,0,0,0,1215,0,0,1215,23,10,13,0,1192,288,17,,,756,,43,50,38,
020404,gm. Wąsosz,4477,5801,5800,1,2570,1907,1906,1,1,10,0,0,0,0,0,0,0,1907,0,0,1907,36,22,14,0,1871,586,29,,,947,,146,72,91,
020501,m. Jawor,14279,18570,18570,0,6383,7896,7896,0,4,25,0,0,0,0,0,0,0,7896,0,0,7896,55,36,19,0,7841,3079,93,,,3529,,456,375,309,
020502,gm. Bolków,6279,8369,8368,1,3243,3036,3035,1,7,7,0,0,0,0,0,0,0,3036,0,0,3036,56,35,21,0,2980,1104,36,,,1342,,228,136,134,
020503,gm. Męcinka,3000,3957,3957,0,1538,1462,1462,0,0,2,0,0,0,0,0,0,0,1462,0,0,1462,14,8,6,0,1448,378,12,,,846,,83,68,61,
020504,gm. Mściwojów,2399,3247,3247,0,1181,1218,1218,0,0,1,0,0,0,0,0,0,0,1218,0,0,1218,17,12,5,0,1201,411,20,,,606,,84,44,36,
020505,gm. Paszowice,2500,3222,3222,0,1251,1249,1249,0,4,8,0,0,0,0,0,0,0,1249,0,0,1249,14,8,6,0,1235,423,13,,,605,,64,67,63,
020506,gm. Wądroże Wielkie,2458,3241,3241,0,1285,1173,1173,0,3,2,0,0,0,0,0,0,0,1173,0,0,1173,12,6,6,0,1161,405,10,,,610,,53,36,47,
020601,m. Karpacz,3120,4291,4290,1,1040,2080,2080,0,1,291,0,0,0,0,0,0,0,2080,0,1,2079,18,14,4,0,2061,1195,33,,,530,,153,100,50,
020602,m. Kowary,6602,8508,8508,0,3219,3383,3383,0,5,22,2,2,0,0,0,0,2,3384,2,0,3384,30,13,17,0,3354,1619,95,,,1102,,259,169,110,
020603,m. Piechowice,3700,4989,4988,1,1552,2148,2148,0,1,35,0,0,0,0,0,0,0,2148,0,0,2148,17,9,8,0,2131,1048,27,,,684,,167,127,78,
020604,m. Szklarska Poręba,3764,5226,5226,0,1354,2410,2410,0,8,254,0,0,0,0,0,0,0,2410,0,0,2410,26,18,8,0,2384,1187,30,,,787,,198,87,95,
020605,gm. Janowice Wielkie,2620,3438,3438,0,1225,1395,1395,0,1,23,0,0,0,0,0,0,0,1395,0,0,1395,17,11,6,0,1378,672,19,,,457,,107,73,50,
020606,gm. Jeżów Sudecki,4401,5785,5785,0,1868,2533,2533,0,1,10,2,2,0,0,0,0,2,2534,2,0,2534,29,15,14,0,2505,1302,33,,,739,,218,124,89,
020607,gm. Mysłakowice,6004,7999,7990,9,2666,3338,3336,2,3,40,0,0,0,0,0,0,0,3338,0,0,3338,36,28,8,0,3302,1517,85,,,1192,,259,137,112,
020608,gm. Podgórzyn,4957,6544,6542,2,2227,2730,2728,2,6,57,0,0,0,0,0,0,0,2730,0,1,2729,30,15,15,0,2699,1338,95,,,869,,199,118,80,
020609,gm. Stara Kamienica,3211,4197,4194,3,1677,1534,1534,0,0,5,0,0,0,0,0,0,0,1534,0,0,1534,24,15,9,0,1510,630,23,,,575,,157,70,55,
020701,m. Kamienna Góra,11994,15590,15590,0,5797,6197,6197,0,7,47,0,0,0,0,0,0,0,6197,0,0,6197,51,27,24,0,6146,2772,88,,,2451,,401,244,190,
020702,gm. Kamienna Góra,5334,6988,6987,1,2606,2728,2728,0,2,15,0,0,0,0,0,0,0,2728,0,0,2728,34,19,15,0,2694,1037,53,,,1235,,138,99,132,
020703,gm. Lubawka,6719,8850,8850,0,3303,3416,3416,0,3,34,0,0,0,0,0,0,0,3416,0,0,3416,37,23,14,0,3379,1487,40,,,1298,,291,127,136,
020704,gm. Marciszów,2903,3622,3622,0,1674,1229,1229,0,0,6,0,0,0,0,0,0,0,1229,0,0,1229,8,3,5,0,1221,466,16,,,582,,51,62,44,
020801,m. Duszniki-Zdrój,2917,4004,4003,1,1093,1824,1824,0,4,226,0,0,0,0,0,0,0,1825,0,0,1825,12,10,2,0,1813,845,26,,,687,,106,107,42,
020802,m. Kłodzko,16856,21744,21741,3,7461,9395,9394,1,24,71,3,2,0,0,0,0,2,9397,2,0,9397,64,38,26,0,9333,4418,96,,,3499,,518,447,355,
020803,m. Kudowa-Zdrój,6031,8419,8392,27,2164,3867,3867,0,8,268,0,0,0,0,0,0,0,3867,0,0,3867,35,21,14,0,3832,1780,38,,,1529,,180,178,127,
020804,m. Nowa Ruda,13872,18016,18015,1,7029,6843,6843,0,5,37,0,0,0,0,0,0,0,6843,0,1,6842,45,24,21,0,6797,3256,115,,,2487,,397,345,197,
020805,m. Polanica-Zdrój,4356,5858,5857,1,1483,2873,2873,0,4,354,0,0,0,0,0,0,0,2873,0,0,2873,15,6,9,0,2858,1370,31,,,1083,,170,98,106,
020806,gm. Bystrzyca Kłodzka,11709,15398,15394,4,5695,6014,6013,1,8,120,0,0,0,0,0,0,0,6013,0,0,6013,48,26,22,0,5965,2343,67,,,2851,,282,240,182,
020807,gm. Kłodzko,10322,13516,13516,0,5329,4993,4993,0,3,23,1,1,0,0,0,0,1,4994,1,0,4994,61,43,18,0,4933,1625,49,,,2568,,233,253,205,
020808,gm. Lądek-Zdrój,5371,7267,7266,1,2486,2885,2885,0,8,319,0,0,0,0,0,0,0,2885,0,0,2885,32,22,10,0,2853,1231,54,,,1187,,156,124,101,
020809,gm. Lewin Kłodzki,1202,1601,1601,0,598,604,604,0,3,33,0,0,0,0,0,0,0,604,0,0,604,0,0,0,0,604,247,11,,,265,,26,37,18,
020810,gm. Międzylesie,4420,5862,5861,1,2232,2188,2188,0,0,40,0,0,0,0,0,0,0,2188,0,0,2188,34,26,8,0,2154,800,35,,,984,,141,115,79,
020811,gm. Nowa Ruda,6990,9424,9424,0,3524,3466,3466,0,2,19,0,0,0,0,0,0,0,3466,0,0,3466,26,13,13,0,3440,1334,50,,,1563,,226,149,118,
020812,gm. Radków,5572,7302,7302,0,2942,2630,2630,0,3,48,0,0,0,0,0,0,0,2630,0,6,2624,37,28,9,0,2587,885,41,,,1317,,119,130,95,
020813,gm. Stronie Śląskie,4558,5995,5995,0,2306,2252,2252,0,1,44,0,0,0,0,0,0,0,2252,0,0,2252,14,9,5,0,2238,992,29,,,888,,158,74,97,
020814,gm. Szczytna,4420,5866,5866,0,2228,2192,2192,0,1,44,1,1,0,0,0,0,1,2193,1,0,2193,31,14,17,0,2162,884,28,,,908,,114,136,92,
020901,m. Chojnów,7941,10439,10438,1,3776,4165,4164,1,4,20,0,0,0,0,0,0,0,4164,0,2,4162,31,19,12,0,4131,1662,69,,,1834,,235,198,133,
020902,gm. Chojnów,5507,7555,7555,0,2718,2789,2789,0,1,12,0,0,0,0,0,0,0,2789,0,0,2789,27,21,6,0,2762,752,26,,,1624,,123,142,95,
020903,gm. Krotoszyce,1901,2598,2598,0,885,1016,1016,0,2,2,0,0,0,0,0,0,0,1016,0,0,1016,11,7,4,0,1005,258,18,,,587,,54,54,34,
020904,gm. Kunice,3900,5220,5220,0,1435,2465,2465,0,0,3,0,0,0,0,0,0,0,2465,0,0,2465,25,10,15,0,2440,1044,12,,,992,,156,113,123,
020905,gm. Legnickie Pole,2964,3865,3864,1,1334,1630,1630,0,5,9,0,0,0,0,0,0,0,1630,0,0,1630,26,13,13,0,1604,474,22,,,891,,76,80,61,
020906,gm. Miłkowice,3900,5219,5219,0,1578,2322,2322,0,0,2,0,0,0,0,0,0,0,2322,0,0,2322,30,16,14,0,2292,751,39,,,1110,,160,112,120,
020907,gm. Prochowice,4396,5894,5894,0,2079,2317,2317,0,2,4,0,0,0,0,0,0,0,2317,0,0,2317,18,8,10,0,2299,770,19,,,1181,,127,95,107,
020908,gm. Ruja,1496,2052,2052,0,860,636,636,0,0,0,0,0,0,0,0,0,0,636,0,0,636,12,3,9,0,624,143,4,,,399,,28,23,27,
021001,m. Lubań,12646,16717,16716,1,5650,6996,6996,0,7,22,0,0,0,0,0,0,0,6996,0,0,6996,53,31,22,0,6943,3338,98,,,2524,,444,314,225,
021002,m. Świeradów-Zdrój,2643,3657,3656,1,950,1693,1692,1,3,271,0,0,0,0,0,0,0,1693,0,0,1693,12,7,5,0,1681,771,23,,,619,,126,72,70,
021003,gm. Leśna,6098,7987,7985,2,3167,2931,2929,2,0,20,0,0,0,0,0,0,0,2931,0,0,2931,32,16,16,0,2899,1133,41,,,1268,,200,147,110,
021004,gm. Lubań,3803,5183,5183,0,1929,1874,1874,0,0,7,0,0,0,0,0,0,0,1874,0,0,1874,28,18,10,0,1846,681,21,,,845,,99,108,92,
021005,gm. Olszyna,3896,5212,5212,0,2001,1895,1895,0,5,13,0,0,0,0,0,0,0,1895,0,0,1895,17,9,8,0,1878,807,15,,,803,,93,91,69,
021006,gm. Platerówka,994,1305,1304,1,478,516,515,1,1,2,0,0,0,0,0,0,0,516,0,0,516,4,1,3,0,512,146,5,,,300,,19,25,17,
021007,gm. Siekierczyn,3190,3976,3976,0,1739,1451,1451,0,0,4,0,0,0,0,0,0,0,1451,0,0,1451,19,8,11,0,1432,516,23,,,655,,99,58,81,
021101,m. Lubin,43298,56170,56169,1,17089,26209,26208,1,23,61,1,1,0,0,0,0,1,26207,1,0,26207,176,110,66,0,26031,9446,288,,,12162,,1524,1325,1286,
021102,gm. Lubin,9287,12298,12297,1,3712,5575,5574,1,3,23,0,0,0,0,0,0,0,5576,0,0,5576,41,28,13,0,5535,1949,59,,,2584,,340,300,303,
021103,gm. Rudna,4703,6119,6119,0,2231,2472,2472,0,1,1,0,0,0,0,0,0,0,2472,0,0,2472,28,16,12,0,2444,625,42,,,1375,,119,135,148,
021104,gm. Ścinawa,5909,7786,7785,1,2793,3116,3115,1,1,12,0,0,0,0,0,0,0,3116,0,0,3116,28,19,9,0,3088,749,39,,,1886,,129,152,133,
021201,gm. Gryfów Śląski,6035,7838,7837,1,3151,2884,2883,1,4,9,0,0,0,0,0,0,0,2884,0,0,2884,31,20,11,0,2853,1175,54,,,1237,,170,113,104,
021202,gm. Lubomierz,3591,4872,4871,1,1828,1763,1763,0,2,30,0,0,0,0,0,0,0,1763,0,0,1763,30,19,11,0,1733,673,22,,,778,,96,74,90,
021203,gm. Lwówek Śląski,10549,13734,13733,1,5336,5213,5213,0,3,42,0,0,0,0,0,0,0,5213,0,0,5213,46,30,16,0,5167,2171,71,,,2066,,344,314,201,
021204,gm. Mirsk,5245,6977,6974,3,2850,2395,2395,0,2,32,0,0,0,0,0,0,0,2395,0,0,2395,34,16,18,0,2361,850,24,,,1145,,138,107,97,
021205,gm. Wleń,2698,3506,3504,2,1358,1340,1340,0,6,10,0,0,0,0,0,0,0,1339,0,0,1339,25,11,14,0,1314,527,22,,,568,,86,62,49,
021301,gm. Cieszków,2791,3755,3755,0,1335,1456,1456,0,1,38,0,0,0,0,0,0,0,1456,0,2,1454,15,6,9,0,1439,465,13,,,791,,57,64,49,
021302,gm. Krośnice,4912,6378,6378,0,2618,2294,2294,0,2,11,0,0,0,0,0,0,0,2294,0,0,2294,21,15,6,0,2273,649,30,,,1333,,97,90,74,
021303,gm. Milicz,14475,19182,19181,1,6986,7489,7489,0,7,59,0,0,0,0,0,0,0,7489,0,0,7489,70,45,25,0,7419,2908,83,,,3479,,397,324,228,
021401,m. Oleśnica,22641,29146,29146,0,9099,13542,13542,0,7,50,0,0,0,0,0,0,0,13542,0,1,13541,84,42,42,0,13457,6032,184,,,4958,,984,739,560,
021402,gm. Bierutów,6122,7904,7904,0,3335,2787,2787,0,1,8,0,0,0,0,0,0,0,2787,0,0,2787,28,20,8,0,2759,967,26,,,1426,,126,122,92,
021403,gm. Dobroszyce,3886,5264,5264,0,1814,2072,2072,0,0,10,0,0,0,0,0,0,0,2072,0,0,2072,21,14,7,0,2051,698,34,,,1008,,113,105,93,
021404,gm. Dziadowa Kłoda,2790,3584,3584,0,1597,1193,1193,0,0,4,0,0,0,0,0,0,0,1193,0,0,1193,26,22,4,0,1167,430,22,,,580,,65,51,19,
021405,gm. Międzybórz,2985,4026,4025,1,1603,1382,1382,0,1,29,0,0,0,0,0,0,0,1382,0,0,1382,9,5,4,0,1373,547,24,,,574,,91,72,65,
021406,gm. Oleśnica,7905,10444,10444,0,4025,3880,3880,0,0,20,0,0,0,0,0,0,0,3880,0,0,3880,37,27,10,0,3843,1481,39,,,1761,,259,163,140,
021407,gm. Syców,9857,13276,13275,1,4480,5377,5376,1,5,76,0,0,0,0,0,0,0,5377,0,0,5377,55,37,18,0,5322,2405,78,,,2012,,326,278,223,
021408,gm. Twardogóra,7799,10403,10403,0,3810,3988,3988,0,3,16,0,0,0,0,0,0,0,3988,0,0,3988,71,53,18,0,3917,1425,63,,,1897,,222,174,136,
021501,m. Oława,19403,25407,25404,3,6942,12461,12460,1,10,50,0,0,0,0,0,0,0,12460,0,0,12460,81,49,32,0,12379,5576,163,,,4580,,774,717,569,
021502,gm. Domaniów,2999,4157,4156,1,1434,1565,1564,1,2,2,0,0,0,0,0,0,0,1565,0,0,1565,16,9,7,0,1549,410,21,,,862,,97,97,62,
021503,gm. Jelcz-Laskowice,13409,17918,17918,0,5265,8145,8145,0,3,18,1,1,0,0,0,0,1,8146,1,0,8146,52,29,23,0,8094,2986,77,,,3789,,511,411,320,
021504,gm. Oława,8904,11869,11869,0,3574,5330,5330,0,2,37,0,0,0,0,0,0,0,5327,0,0,5327,46,29,17,0,5281,1785,52,,,2625,,295,296,228,
021601,gm. Chocianów,7699,10024,10024,0,3543,4156,4156,0,4,8,0,0,0,0,0,0,0,4155,0,1,4154,43,29,14,0,4111,952,66,,,2486,,161,264,182,
021602,gm. Gaworzyce,2289,3082,3082,0,979,1310,1310,0,5,20,0,0,0,0,0,0,0,1310,0,0,1310,26,16,10,0,1284,325,19,,,746,,77,63,54,
021603,gm. Grębocice,3210,4178,4178,0,1606,1604,1604,0,1,3,0,0,0,0,0,0,0,1604,0,0,1604,26,16,10,0,1578,400,25,,,942,,57,96,58,
021604,gm. Polkowice,15696,20545,20545,0,7282,8414,8414,0,7,30,0,0,0,0,0,0,0,8414,0,1,8413,73,42,31,0,8340,2718,110,,,4180,,551,405,376,
021605,gm. Przemków,5098,6659,6659,0,2654,2444,2444,0,0,12,0,0,0,0,0,0,0,2444,0,0,2444,32,19,13,0,2412,643,42,,,1389,,112,119,107,
021606,gm. Radwanice,2900,3728,3728,0,1444,1456,1456,0,4,4,0,0,0,0,0,0,0,1456,0,0,1456,19,10,9,0,1437,432,23,,,763,,82,49,88,
021701,gm. Borów,3300,4316,4316,0,1480,1820,1820,0,0,1,0,0,0,0,0,0,0,1820,0,0,1820,24,13,11,0,1796,444,13,,,1086,,77,87,89,
021702,gm. Kondratowice,2600,3527,3522,5,1320,1280,1279,1,4,10,0,0,0,0,0,0,0,1280,0,0,1280,12,8,4,0,1268,347,11,,,751,,57,54,48,
021703,gm. Przeworno,3111,3927,3927,0,1676,1435,1435,0,3,5,0,0,0,0,0,0,0,1435,0,0,1435,15,12,3,0,1420,425,19,,,821,,42,56,57,
021704,gm. Strzelin,13829,18129,18128,1,5972,7848,7848,0,5,28,0,0,0,0,0,0,0,7848,0,0,7848,69,43,26,0,7779,3167,103,,,3386,,424,370,329,
021705,gm. Wiązów,4495,5829,5829,0,2223,2272,2272,0,2,6,0,0,0,0,0,0,0,2272,0,0,2272,24,19,5,0,2248,575,26,,,1359,,85,119,84,
021801,gm. Kostomłoty,4300,5710,5710,0,2200,2099,2099,0,1,19,0,0,0,0,0,0,0,2099,0,0,2099,22,15,7,0,2077,559,26,,,1201,,104,99,88,
021802,gm. Malczyce,3600,4677,4675,2,1981,1618,1618,0,1,5,0,0,0,0,0,0,0,1619,0,0,1619,13,9,4,0,1606,520,10,,,879,,72,66,59,
021803,gm. Miękinia,9202,12344,12343,1,3561,5641,5640,1,3,35,0,0,0,0,0,0,0,5641,0,0,5641,35,18,17,0,5606,2420,84,,,2026,,471,343,262,
021804,gm. Środa Śląska,11785,15507,15507,0,5527,6258,6258,0,0,16,0,0,0,0,0,0,0,6258,0,0,6258,56,31,25,0,6202,2548,60,,,2723,,317,300,254,
021805,gm. Udanin,3199,4262,4262,0,1564,1635,1635,0,2,8,0,0,0,0,0,0,0,1635,0,0,1635,15,10,5,0,1620,392,13,,,1049,,63,42,61,
021901,m. Świdnica,34569,45110,45103,7,12579,21990,21986,4,12,92,7,7,0,0,0,0,7,21995,7,0,21995,149,72,77,0,21846,10097,261,,,7232,,2291,1066,899,
021902,m. Świebodzice,13570,17780,17780,0,5572,7998,7998,0,23,33,0,0,0,0,0,0,0,7999,0,0,7999,56,37,19,0,7943,3638,133,,,2877,,604,379,312,
021903,gm. Dobromierz,3100,4212,4212,0,1565,1535,1535,0,3,3,0,0,0,0,0,0,0,1535,0,0,1535,13,8,5,0,1522,480,19,,,825,,87,54,57,
021904,gm. Jaworzyna Śląska,6124,8245,8241,4,3043,3081,3079,2,5,5,0,0,0,0,0,0,0,3081,0,0,3081,27,18,9,0,3054,1017,61,,,1418,,212,189,157,
021905,gm. Marcinowice,3905,5149,5147,2,1864,2041,2040,1,2,8,0,0,0,0,0,0,0,2041,0,0,2041,20,13,7,0,2021,606,23,,,1110,,124,80,78,
021906,gm. Strzegom,15805,20715,20714,1,7516,8289,8289,0,20,19,0,0,0,0,0,0,0,8289,0,0,8289,91,61,30,0,8198,2897,95,,,3874,,572,453,307,
021907,gm. Świdnica,10361,13598,13596,2,4555,5806,5805,1,2,19,0,0,0,0,0,0,0,5803,0,0,5803,46,28,18,0,5757,2131,62,,,2465,,543,271,285,
021908,gm. Żarów,7721,9985,9984,1,3754,3967,3966,1,3,7,0,0,0,0,0,0,0,3967,0,0,3967,37,20,17,0,3930,1427,63,,,1773,,285,191,191,
022001,gm. Oborniki Śląskie,12175,15924,15923,1,4296,7877,7876,1,6,50,1,1,0,0,0,0,1,7879,1,0,7879,60,34,26,0,7819,3433,91,,,3018,,541,442,294,
022002,gm. Prusice,5659,7532,7532,0,2946,2713,2713,0,0,5,0,0,0,0,0,0,0,2713,0,0,2713,34,24,10,0,2679,773,43,,,1527,,105,132,99,
022003,gm. Trzebnica,14232,18570,18568,2,5663,8569,8568,1,5,38,1,1,0,0,0,0,1,8570,1,0,8570,68,39,29,0,8502,3350,99,,,3720,,516,493,324,
022004,gm. Wisznia Mała,6177,8118,8116,2,2004,4173,4173,0,1,20,0,0,0,0,0,0,0,4173,0,0,4173,23,14,9,0,4150,1761,29,,,1735,,287,195,143,
022005,gm. Zawonia,3598,4705,4702,3,1803,1795,1793,2,5,12,0,0,0,0,0,0,0,1795,0,0,1795,26,21,5,0,1769,622,22,,,805,,126,108,86,
022006,gm. Żmigród,8790,11668,11667,1,4613,4177,4176,1,4,33,0,0,0,0,0,0,0,4177,0,0,4177,42,29,13,0,4135,1538,55,,,1920,,232,212,178,
022101,m. Boguszów-Gorce,9110,12087,12084,3,5019,4091,4091,0,5,9,0,0,0,0,0,0,0,4091,0,0,4091,40,24,16,0,4051,1908,61,,,1425,,343,164,150,
022102,m. Jedlina-Zdrój,2905,3798,3798,0,1312,1593,1593,0,3,17,0,0,0,0,0,0,0,1593,0,0,1593,22,10,12,0,1571,741,28,,,526,,160,62,54,
